stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100294","Eichsel, Obereichsel","47.59983519","7.75752740","","Parent1100294"
"1100295","Zell (Wiesental), Schwarznau","47.69989207","7.84621807","","Parent1100295"
"1100297","Müllheim (D), Feldberg Lohfel.","47.77388828","7.63741366","","Parent1100297"
"1100298","Lörrach, Lucke","47.63235321","7.64626207","","Parent1100298"
"1100300","Rheinfelden (D), K-Fürstenberg","47.56136880","7.78879776","","Parent1100300"
"1100301","Oberried (D), Abzw. Halde","47.89333567","7.89187045","","Parent1100301"
"1100302","Schauinsland, Bergstation","47.90857243","7.89238249","","Parent1100302"
"1100303","Neuenburg (Baden), Bahnhof","47.81149851","7.56342842","","Parent1100303"
"1100304","Hausen (LÖ), Eisenwerk","47.68565229","7.84239125","","Parent1100304"
"1100305","Hausen (LÖ), Lehacker","47.68279782","7.84021732","","Parent1100305"
"1100307","Schliengen, Eisenbahnstrasse","47.75984989","7.56990527","","Parent1100307"
"1100308","Lörrach, Friedhof","47.62042017","7.67236711","","Parent1100308"
"1100309","Müllheim (D), Eisenbahnstrasse","47.80928441","7.60589178","","Parent1100309"
"1100327","Müllheim (D), Verkehrsamt","47.80815621","7.63032596","","Parent1100327"
"1100329","Utzenfeld, Schule","47.80191748","7.91821804","","Parent1100329"
"1100330","Müllheim (D), Goethestrasse","47.81107017","7.62753220","","Parent1100330"
"1100355","Herten (Baden), Friedhof","47.55656155","7.73648886","","Parent1100355"
"1100356","Degerfelden, Lamm B316","47.57375166","7.74201350","","Parent1100356"
"1100359","Schwörstadt, Unterdorf","47.59073015","7.86574744","","Parent1100359"
"1100360","Schwörstadt, Kraftwerk","47.59029394","7.83540235","","Parent1100360"
"1100361","Lörrach, Gewerbeschule","47.61927576","7.66130885","","Parent1100361"
"1100362","Inzlingen, Wasserschloss","47.58719796","7.69677434","","Parent1100362"
"1100363","Lörrach, Grabenstr.","47.61329295","7.66290785","","Parent1100363"
"1100364","Lörrach, Alter Markt","47.61084635","7.66071596","","Parent1100364"
"1100365","Lörrach, Senser Platz","47.61370475","7.66025782","","Parent1100365"
"1100366","Lörrach, Homburg Siedlung","47.62340520","7.67575376","","Parent1100366"
"1100367","Lörrach, Robert Bosch Strasse","47.62491279","7.67707428","","Parent1100367"
"1100368","Hausen-Raitbach, Bahnhof","47.67924161","7.84578688","","Parent1100368"
"1100369","Maulburg, Volksbank","47.64575419","7.77641897","","Parent1100369"
"1100370","Maulburg, Teichmattstrasse","47.64496137","7.77192739","","Parent1100370"
"1100371","Steinen (Kr LÖ), Egertenstr.","47.64185652","7.73391967","","Parent1100371"
"1100372","Steinen (Kr LÖ), Schwimmbad","47.64147521","7.72431668","","Parent1100372"
"1100373","Hauingen, Turnhalle","47.64221967","7.69452855","","Parent1100373"
"1100374","Hauingen, Wiesenbrücke","47.64002863","7.69495974","","Parent1100374"
"1100375","Brombach (LÖ), Zentrum","47.63426006","7.69248039","","Parent1100375"
"1100376","Brombach (LÖ), Friedhof","47.63146937","7.68696473","","Parent1100376"
"1100377","Sallneck, Ort","47.72292142","7.77226875","","Parent1100377"
"1100378","Raich","47.75484346","7.80692576","","Parent1100378"
"1100379","Langensee (Kr LÖ),ehem. Schule","47.74125905","7.81590891","","Parent1100379"
"1100380","Schönau (Schw), Buchen. Schule","47.78241814","7.89324487","","Parent1100380"
"1100381","Zell (Wiesental), Krankenhaus","47.70372495","7.84891301","","Parent1100381"
"1100382","Schopfheim, Wehrer Strasse","47.64931874","7.82995856","","Parent1100382"
"1100383","Schopfheim, Abzw. Eichen","47.64744874","7.84548145","","Parent1100383"
"1100384","Hasel, Abzweigung","47.64757583","7.88850177","","Parent1100384"
"1100385","Hasel, Dorfplatz","47.65336108","7.89788916","","Parent1100385"
"1100386","Lörrach-Brombach, Bahnhof","47.63707481","7.69542686","","Parent1100386"
"1100387","Schopfheim, Hebelstrasse","47.64845334","7.82437104","","Parent1100387"
"1100388","Hausen (LÖ), Tor-/Bergwerkstr.","47.68035447","7.83886985","","Parent1100388"
"1100389","Hausen (LÖ), Autokabel","47.67925371","7.84342431","","Parent1100389"
"1100402","Steinen (Kr LÖ), Lörracherstr.","47.64292175","7.73012878","","Parent1100402"
"1100407","Zell (Wiesental), RB Heizmann","47.70808346","7.85211102","","Parent1100407"
"1100408","Adelsberg","47.71746420","7.83629168","","Parent1100408"
"1100409","Gresgen, Rathaus","47.71132339","7.82176593","","Parent1100409"
"1100411","Häg-Ehrsberg, Ehrsberg","47.74319213","7.90619858","","Parent1100411"
"1100412","Häg-Ehrsberg, Hägermühle","47.73182217","7.91858635","","Parent1100412"
"1100413","Häg-Ehrsberg, Rohmatt","47.72902461","7.90796826","","Parent1100413"
"1100414","Mambach, Ort","47.72764088","7.87909641","","Parent1100414"
"1100415","Inzlingen, Schlossstrasse","47.59007584","7.70013404","","Parent1100415"
